original_idx,predicted_class,probability_default,samples_used,final_r2,convergence_reason,execution_time_sec,used_slm,top_features
30745,Adimplente,0.004519,3200,0.072632,max_samples_reached,0.2012,True,person_home_ownership=2: -0.2432; loan_grade=1: -0.0751; person_age > 30.00: -0.0406; loan_intent=1: -0.0389; loan_amnt <= 5000.00: -0.0387
25507,Adimplente,0.000662,400,0.15664,semantic_converged,3.203,True,person_home_ownership=2: -0.2153; loan_amnt > 12250.00: 0.1320; loan_intent=5: -0.1192; person_income > 80000.00: -0.1069; loan_int_rate > 13.48: 0.0817
31424,Adimplente,0.000752,3200,0.109518,max_samples_reached,0.205,True,person_income > 80000.00: -0.1569; person_home_ownership=0: -0.1173; loan_int_rate <= 7.90: -0.0827; loan_grade=0: -0.0811; loan_percent_income <= 0.09: -0.0575
27780,Adimplente,0.001449,3200,0.130524,max_samples_reached,0.1971,True,person_income > 80000.00: -0.1663; loan_intent=5: -0.1425; person_home_ownership=0: -0.0991; loan_amnt > 12250.00: 0.0934; loan_grade=1: -0.0753
21511,Adimplente,0.093852,1600,0.139981,semantic_converged,3.2687,True,person_home_ownership=3: 0.1806; person_income <= 39300.00: 0.1376; 0.15 < loan_percent_income <= 0.23: -0.1286; 10.99 < loan_int_rate <= 13.48: 0.0528; loan_intent=3: 0.0411
16415,Adimplente,0.075458,3200,0.113287,max_samples_reached,0.2208,True,person_income > 80000.00: -0.1224; person_home_ownership=0: -0.1094; 0.15 < loan_percent_income <= 0.23: -0.0988; loan_amnt > 12250.00: 0.0896; loan_int_rate <= 7.90: -0.0800
14038,Adimplente,0.000517,3200,0.120208,max_samples_reached,0.2002,True,person_income > 80000.00: -0.1522; loan_intent=5: -0.1470; person_home_ownership=0: -0.1031; loan_grade=1: -0.0959; 0.09 < loan_percent_income <= 0.15: -0.0809
13358,Adimplente,0.000363,1600,0.171253,semantic_converged,3.5555,True,person_home_ownership=2: -0.2511; loan_intent=2: 0.2020; person_income > 80000.00: -0.1856; loan_grade=0: -0.0942; 0.09 < loan_percent_income <= 0.15: -0.0747
15767,Adimplente,0.019577,3200,0.116471,semantic_converged,3.8242,True,person_income > 80000.00: -0.1519; person_home_ownership=0: -0.1114; loan_amnt > 12250.00: 0.1099; loan_grade=1: -0.0960; loan_percent_income <= 0.09: -0.0448
13721,Adimplente,0.031425,3200,0.177531,max_samples_reached,0.2051,True,person_home_ownership=3: 0.1804; person_income > 80000.00: -0.1778; loan_amnt > 12250.00: 0.1245; 0.09 < loan_percent_income <= 0.15: -0.0838; loan_grade=1: -0.0643
31360,Adimplente,0.001554,3200,0.11516,semantic_converged,3.6169,True,person_income > 80000.00: -0.1692; loan_intent=5: -0.1417; person_home_ownership=0: -0.1059; loan_grade=1: -0.0767; loan_amnt <= 5000.00: -0.0558
27690,Default,0.929618,3200,0.16046,semantic_converged,7.1039,True,loan_grade=3: 0.2794; person_income > 80000.00: -0.1546; person_home_ownership=0: -0.1056; loan_int_rate > 13.48: 0.0846; loan_percent_income <= 0.09: -0.0468
15582,Adimplente,0.027724,3200,0.158506,max_samples_reached,0.2145,True,person_home_ownership=3: 0.1838; person_income > 80000.00: -0.1388; loan_amnt > 12250.00: 0.0975; 0.15 < loan_percent_income <= 0.23: -0.0974; loan_grade=1: -0.0768
25342,Adimplente,0.072886,3200,0.141446,max_samples_reached,0.2053,True,person_home_ownership=3: 0.1738; person_income <= 39300.00: 0.1659; 0.09 < loan_percent_income <= 0.15: -0.0981; loan_int_rate > 13.48: 0.0700; loan_intent=1: -0.0534
30268,Adimplente,0.00658,1600,0.206895,semantic_converged,3.8918,True,person_income <= 39300.00: 0.1964; person_home_ownership=3: 0.1611; loan_intent=5: -0.1355; 0.15 < loan_percent_income <= 0.23: -0.1223; 5000.00 < loan_amnt <= 8000.00: -0.0922
22800,Adimplente,0.027454,1600,0.101988,semantic_converged,3.8274,True,person_home_ownership=3: 0.1547; 0.15 < loan_percent_income <= 0.23: -0.1132; loan_grade=0: -0.0952; 5000.00 < loan_amnt <= 8000.00: -0.0617; 39300.00 < person_income <= 55560.00: 0.0319
24922,Adimplente,0.051473,3200,0.062009,max_samples_reached,0.2248,True,person_home_ownership=0: -0.1152; loan_grade=0: -0.0751; loan_int_rate <= 7.90: -0.0722; 5000.00 < loan_amnt <= 8000.00: -0.0520; loan_intent=0: 0.0398
6012,Adimplente,0.113212,3200,0.053261,max_samples_reached,0.2048,True,person_home_ownership=0: -0.0986; 0.15 < loan_percent_income <= 0.23: -0.0917; loan_grade=1: -0.0809; person_age <= 23.00: 0.0259; 39300.00 < person_income <= 55560.00: 0.0220
19266,Adimplente,0.199155,3200,0.159291,semantic_converged,3.7379,True,person_home_ownership=3: 0.1784; person_income <= 39300.00: 0.1645; loan_intent=5: -0.1434; loan_percent_income <= 0.09: -0.0472; loan_amnt <= 5000.00: -0.0425
4089,Adimplente,0.279058,3200,0.174284,max_samples_reached,0.2197,True,loan_intent=2: 0.1909; person_home_ownership=3: 0.1686; person_income > 80000.00: -0.1564; loan_grade=0: -0.1105; loan_int_rate <= 7.90: -0.0736
17352,Adimplente,0.00053,3200,0.112423,max_samples_reached,0.1977,True,loan_intent=5: -0.1504; person_home_ownership=0: -0.1191; loan_grade=0: -0.1103; loan_int_rate <= 7.90: -0.0918; loan_percent_income <= 0.09: -0.0579
1356,Adimplente,0.062385,3200,0.156241,semantic_converged,3.7193,True,person_home_ownership=3: 0.1878; person_income <= 39300.00: 0.1669; loan_grade=0: -0.0972; loan_percent_income <= 0.09: -0.0551; loan_intent=1: -0.0403
20856,Adimplente,0.035677,800,0.157402,semantic_converged,3.6238,True,loan_percent_income > 0.23: 0.2596; person_home_ownership=0: -0.1180; loan_grade=1: -0.0951; loan_amnt > 12250.00: 0.0689; loan_intent=4: -0.0485
28036,Adimplente,0.003207,3200,0.144087,max_samples_reached,0.2033,True,loan_intent=2: 0.1900; person_income > 80000.00: -0.1580; loan_amnt > 12250.00: 0.1096; person_home_ownership=0: -0.1091; loan_grade=0: -0.0923
26145,Default,0.993811,3200,0.220956,max_samples_reached,0.2022,True,loan_percent_income > 0.23: 0.2593; person_home_ownership=3: 0.1968; loan_grade=1: -0.1059; loan_amnt > 12250.00: 0.1042; 10.99 < loan_int_rate <= 13.48: 0.0477
18852,Adimplente,0.018103,400,0.141061,semantic_converged,3.5635,True,loan_grade=0: -0.1413; loan_int_rate <= 7.90: -0.1369; person_home_ownership=0: -0.1128; person_income <= 39300.00: 0.1015; loan_amnt <= 5000.00: -0.0804
24148,Adimplente,0.055777,3200,0.168585,max_samples_reached,0.2109,True,loan_percent_income > 0.23: 0.2182; person_home_ownership=0: -0.1167; loan_grade=0: -0.0988; loan_int_rate <= 7.90: -0.0870; loan_amnt > 12250.00: 0.0785
17848,Adimplente,0.02591,3200,0.083071,max_samples_reached,0.21,True,person_income > 80000.00: -0.1367; person_home_ownership=0: -0.1058; loan_intent=0: 0.0682; 5000.00 < loan_amnt <= 8000.00: -0.0597; loan_grade=2: -0.0591
9635,Adimplente,0.057808,3200,0.165169,semantic_converged,3.9264,True,loan_percent_income > 0.23: 0.2329; person_home_ownership=0: -0.1189; loan_amnt > 12250.00: 0.1076; loan_grade=1: -0.0948; loan_intent=1: -0.0551
29163,Adimplente,0.074112,3200,0.199101,max_samples_reached,0.2039,True,loan_grade=3: 0.2760; person_income > 80000.00: -0.1607; loan_intent=2: 0.1546; loan_amnt > 12250.00: 0.1007; person_home_ownership=0: -0.0987
18985,Adimplente,0.019549,3200,0.162256,max_samples_reached,0.1996,True,person_income > 80000.00: -0.1806; person_home_ownership=3: 0.1761; loan_amnt > 12250.00: 0.0925; loan_grade=0: -0.0925; 0.09 < loan_percent_income <= 0.15: -0.0820
7263,Adimplente,0.000426,800,0.188837,semantic_converged,3.7337,True,person_home_ownership=3: 0.1967; loan_intent=5: -0.1415; person_income > 80000.00: -0.1357; loan_int_rate <= 7.90: -0.0944; loan_grade=0: -0.0836
